NAY,南苑机场
DXB,迪拜机场
XNB,迪拜市中心切尔希大厦
DDG,浪头机场
HND,羽田机场
NRT,成田机场
DEL,德里机场
DQA,萨尔图机场　
DTW,底特律机场
DET,底特律市机场 
DAX,达县机场
DOY,永安机场
ENH,许家坪机场
FUK,福冈机场
FRA,法兰克福机场
FUO,沙堤机场
PUS,釜山机场
FUG,西关机场
FOC,长乐国际机场
CPH,哥本哈根机场
HIJ,广岛机场
OKJ,冈山机场
GYS,盘龙机场
KOW,黄金机场
KHV,哈巴罗夫斯克机场
SEL,金浦国际机场
GMP,金浦国际机场
ICN,仁川国际机场
HDG,邯郸机场
HEL,赫尔辛基机场
HFE,骆岗国际机场
HEK,黑河机场
HJJ,芷江机场
HMI,哈密机场
HAN,河内机场
WAW,华沙机场
HTN,和田机场
SGN,胡志明市机场
PNH,金边机场
KTM, 特里布胡凡机场 
JDZ,景德镇机场
IEV,基辅机场
KBP,基辅BORISPOL机场
JGS,井冈山机场
SFO,旧金山机场
KUL,吉隆坡国际机场
SZB,吉隆坡梳邦机场
JMU,东郊机场
JNG,曲阜机场
GYU,六盘山机场
JGN,嘉峪关机场
JNZ,小岭子机场
KCA,库车机场
KRL,库尔勒机场
CAI,开罗机场
KHI,卡拉奇机场
KWI,科威特机场
LHR,西斯罗机场
LGW,盖特维克机场
LCY,伦敦城机场
STN,伦敦斯坦德机场
CIA,罗马机场
FCO,费尤米西诺机场
LAX,洛杉矶机场
LCX,冠豸山机场
LYA,北郊机场
LYG,白塔埠机场
LZH,白莲机场
LZO,兰田坝机场
MAD,马德里机场
MEL,墨尔本机场
AVV,阿瓦伦机场
BKK,素万那普国际机场
DMK,曼谷廊曼机场
NGO,中部航空国际机场
PMF,帕尔马机场
MXP,米兰马尔彭萨机场
LIN,利纳特机场
MUC,弗朗茨约瑟夫施特劳斯
MNL,马尼拉机场
LUM,芒市机场
SVO,谢列蔑契娃机场
DME,德莫杰多沃国际机场
VKO,伏努科沃机场
MIG,南郊机场
NGB,栎社国际机场
KHN,昌北国际机场
NAO,高坪机场
NNG,吴圩国际机场
NNY,姜营机场
FNJ,平壤机场
IQM,且末机场
IQN,庆阳机场
JUZ,衢州机场
GRU,瓜鲁尔霍斯国际机场
ARN,斯德哥尔摩机场
UKB,神户机场
LIA,梁平机场
SJW,正定国际机场
ZRH,苏黎世机场
SHS,沙市机场
SHE,桃仙国际机场
TCG,塔城民航机场
TGO,通辽机场
YYZ,帕尔森国际机场
YTO,大都会地区 
TLV,特拉维夫机场
THQ,天水机场
TVS,三女河机场
WEF,潍坊机场
YVR,温哥华机场
WUH,天河国际机场
WEH,大水泊国际机场
ULN,乌兰巴托机场
HLH,乌兰浩特机场
VTE,万象机场
WXN,万州机场
WNZ,永强国际机场
WUZ,长洲岛机场
XIC,青山机场
XFN,刘集机场
XIL,锡林浩特机场
SYD,悉尼机场
SEA,西雅图Tacoma国际机场
XUZ,观音机场
YBP,菜坝机场
YIH,三峡机场
LDS,林都机场
RGN,仰光机场
YNJ,朝阳川国际机场
CGK,雅加达机场
UYN,榆阳机场
YIN,伊宁机场
ISB,伊斯兰堡机场
IST,伊斯坦布尔机场
YNT,莱山机场
YIW,义乌机场
ZHA,湛江机场
CHI,欧侅尔机场
ORD,奥黑尔国际机场
MDW,米德威机场
ZGN,中山机场
ZAT,昭通机场
ZHY,中卫机场
CGO,新郑国际机场
LYI,沭埠岭机场
TOY,富山机场
BPX,昌都邦达机场
HIA,涟水机场
HYN,路桥国际机场
SDJ,仙台机场
FKS,福岛机场
TPE,桃园中正国际机场
TSA,台北松山机场
CNX,清迈机场
PEN,槟城机场
BQS,布拉格维申斯科机场
VVO,符拉迪沃斯托克机场
THR,德黑兰机场
IKA,伊玛姆科梅尼机场
JFK,纽约肯尼迪机场
EWR,Newark纽瓦克机场
LGA,拉瓜迪机场
ADD,亚的斯亚贝巴机场
BEG,贝尔格来德机场
BUD,布达佩斯机场
BWN,斯里巴加湾机场
TAS,塔什干机场
CTS,札幌机场
FRU,比什凯克机场
CEI,清莱机场
BAK,巴库机场
GYD,阿里耶夫国际机场
VIE,维也纳机场
YZY,张掖机场
LUX,卢森堡机场
GVA,日内瓦机场
BTK,布拉茨克机场
HTA,赤塔机场
IKT,伊尔库茨克机场
KUF,萨玛拉机场
OTP,奥托佩尼机场
LAS,拉斯维加斯机场
IAD,华盛顿杜勒斯机场
DCA,华盛顿国际机场
AKL,奥克兰机场
CBR,堪培拉机场
BNE,布里斯班
PER,珀斯机场
DRW,达尔文机场
CPT,开普敦机场
JNB,约翰内斯堡机场
FLR,佛罗伦撒机场
VCE,马可波罗机场
HAV,哈瓦那机场
MEX,胡阿雷兹国际机场
PDX,波特兰国际机场
PHX,凤凰城机场
SAN,圣迭戈国际机场
CLD,卡尔斯巴德机场 
DEN,丹佛国际机场
SLC,盐湖城国际机场
IAH,乔治布什国际机场    
MIA,迈阿密国际机场
BOS,波斯顿机场
ATL,亚特兰大国际机场
DFW,达拉斯机场
EDI,爱丁堡机场
BCN,巴塞罗那机场
CGN,科隆机场
QKL,科隆火车站
ATH,埃勒弗瑟里奥斯
MRS,马赛机场
LYS,里昂机场
XYD,里昂帕特挽迪尤火车站
GRX,格拉纳达机场
KHH,高雄国际机场
MAN,曼彻斯特机场
DPS,登巴萨国际机场
BOM,孟买机场
HKT,普吉国际机场
CNS,凯恩斯机场
LXR,卢克索机场
ASW,阿斯旺机场
DAC,达卡机场
UKY,京都机场
KOJ,鹿儿岛机场
CJJ,清州机场
CJU,济州岛
KWJ,光州机场
SZG,萨尔斯堡机场
BDO,侯赛因萨斯特雷纳加拉
JOG,阿迪苏特吉普托机场
SHJ,沙迦机场
LXI,林西机场
LHK,光化机场
GHN,广汉机场
ANC,安克雷奇国际机场
GUM,关岛机场
AMD,艾哈迈达巴德机场
CCU,加尔各答机场
HNL,火奴鲁鲁国际机场
YMQ,蒙特利尔机场
YMX,米拉贝尔机场
YUL,杜鲁道国际机场
YOW,渥太华国际机场
YYC,卡尔加里机场
DUS,杜塞尔多夫机场
HAM,汉堡机场
NUE,纽伦堡机场
STR,斯图加特机场
AUH,阿布扎比国际机场
BEL,瓦尔德坎斯机场
GIG,里约热内卢
MVD,蒙得维的亚Carrasco
PIT,匹兹堡机场
BIO,毕尔巴鄂机场
VLL,巴利阿多里德机场
SCQ,圣地亚哥科波泰拉机场
NCE,尼斯机场
BOD,波尔多机场
BFS,贝尔法斯特机场
BHD,贝尔法斯特市机场
JER,泽西States机场
GCI,根西岛机场
GLA,格拉斯哥机场
ODE,欧登塞Beldringe机场
KAN,卡诺机场
LOS,拉各斯机场
PHC,哈科特港机场
MRU,毛里求斯机场
VNO,维尔纽斯机场
SVG,斯塔万格机场
TIJ,罗德里格兹机场
RUH,利雅得机场
TIP,的黎波里机场
NAN,南迪国际机场
SOF,索非亚机场
KBL,喀布尔机场
KIN,金斯敦机场
KLU,克拉根福机场
LAQ,拜达机场
LED,圣彼得堡机场
LHE,拉合尔机场
HKD,函馆机场
JED,吉达机场
DHA,宰赫兰机场
DUB,都柏林机场
GOT,哥德堡机场
GRZ,格拉兹机场
BSL,巴塞尔机场
BUE,布宜诺斯艾利斯机场
AEP,乔治纽博利机场
EZE,米尼斯特罗皮斯塔里尼
CAS,卡萨布兰卡机场
CMN,穆罕默德机场
CMB,科伦坡国际机场
CBM,科伦坡机场
CCS,加拉加斯机场
CUN,坎昆机场
CUZ,库斯科机场
DAR,达累斯萨拉姆机场
LNZ,林茨机场
LUN,卢萨卡机场
LYP,费萨拉巴德机场
MBA,蒙巴萨Moiintl机场
ASU,亚松森机场
BEN,班加西Benina机场
BGO,卑尔根Flesland机场
BGW,巴格达机场
BOG,波哥大Eldorado机场
NBO,内罗毕机场
OPO,波尔图机场
OSL,奥斯陆机场
PAP,太子港机场
PEW,白沙瓦机场
PTY,巴拿马城Tocumen机场
KEF,雷克雅未克国际机场
ORK,科克机场
BRN,伯尔尼机场
BEY,贝鲁特国际机场
LIM,利马国际机场
BRS,布里斯托尔机场
DAM,大马士革国际机场
FAO,法鲁机场
GUA,危地巴拉城机场
LAD,罗安达机场
WLG,惠灵顿国际机场
MDK,姆班达卡机场
FIH,金沙萨机场
FKI,基桑加尼机场
JIB,安伯里机场
HRE,哈拉雷机场
SAH,萨那机场
SCL,阿图罗梅里诺博尼特兹
MCT,马斯卡特机场
MSQ,明斯克机场
DKR,约夫机场
GBE,塞雷策卡马爵士国际机
UIO,马里斯卡尔苏克雷机场
POM,杰克逊机场
LCA,拉纳卡机场
WDH,霍希库塔科国际机场
MPM,马普托国际机场
NIM,尼亚美机场
SWA,揭阳潮汕机场
LLF,零陵机场
NZH,西郊机场
PZI,保安营机场
WUA,乌海机场
ACX,兴义机场
AEB,百色机场
JIC,金昌金川机场
KIJ,新泻机场
NAH,那霸机场
TKS,德岛机场
KCZ,高知机场
ISG,石垣机场
FSZ,静冈机场
RNO,里诺坎农国际机场
ELP,埃尔帕索国际机场
AUS,奥斯汀机场
MKE,米切尔国际机场
MCI,堪萨斯城国际机场
STL,圣路易斯国际机场
CVG,辛辛那提国际机场
CLE,克利夫兰国际机场
MSY,新奥尔良莫桑国际机场
MCO,奥兰多国际机场
EYW,基韦斯特国际机场
PHL,费城国际机场
SBA,圣巴巴拉机场
TUS,图森国际机场
SAT,圣安东尼奥机场
ABZ,阿伯丁机场
NQT,诺丁汉机场
YNZ,南洋国际机场
MLE,马累机场
OOL,黄金海岸机场
DAY,詹姆斯考克斯代顿国
ADB,伊兹密尔机场
AYT,安塔利亚机场
ESB,埃森博卡机场
LGK,兰卡威机场
TEN,铜仁大兴机场
USM,苏梅岛机场
LIS,里斯本机场
MEM,孟菲斯机场
MAA,金奈机场
LNJ,临沧机场
SPN,塞班机场
MSP,SAINT PAUL INTL机场
CEB,宿雾机场
BLQ,博洛尼亚机场
CMH,哥伦布机场
YHZ,哈里法克斯机场
ADL,阿德来德机场
SUB,泗水机场
YEG,埃德蒙顿国际机场 
HAJ,汉诺威机场
KUA,关丹机场
SJO,胡安圣玛利亚国际机场
TGU,特古西加尔巴机场
ACA,阿卡普尔科国际机场
GDL,米盖尔希达尔机场
LPB,阿尔托机场
BSB,巴西利亚国际机场
MAO,埃杜阿多戈梅斯机场
REC,瓜拉拉佩斯国际机场
NAP,那不勒斯机场
TRN,都灵机场
MLA,马耳他机场
LJU,卢布尔雅那机场
PMI,帕尔马马拉尔克机场
AGP,马拉加机场
BHN,伯明翰机场
BHX,伯明翰机场
ALG,阿尔及尔机场
DLA,杜阿拉机场
LBV,利伯维尔机场
ACC,阿克拉机场
CKY,科纳克里机场
MLW,斯普里格－佩纳机场 
ROB,罗伯茨国际机场 
KGL,格雷格尔凯伊班达机场
DUR,路易斯波萨机场
VIR,维吉尼亚机场
KRT,喀土穆机场
TUN,突尼斯机场
EBB,恩德培机场
AMM,阿里亚皇后国际机场
OMS,鄂姆斯克机场
OIT,大分机场
TAE,大丘机场
PRG,布拉格机场
NCL,纽卡斯尔机场
JAX,杰克逊威尔机场
IND,印第安纳波利斯
SDF,路易斯威尔
ALC,阿里坎特机场
MPL,蒙彼利埃机场
MME,达勒姆提斯瓦雷机场
LEJ,莱比锡机场
DUD,达尼丁机场
BUF,水牛城
WNH,文山普者黑机场
KRK,克拉克夫机场
OVD,阿斯图里亚斯机场
PSA,比萨机场
SJJ,布特米尔机场
SVQ,塞维利亚机场
VLC,瓦伦西亚机场
TIA,提拉纳机场
ECN,厄尔坎机场
SXB,恩特扎姆机场
XER,斯特拉斯堡巴士车站
BLR,班加罗尔机场
DAD,岘港机场
CGP,吉大港机场
BRE,不来梅机场
TLS,吐鲁兹机场
TRV,提鲁瓦南萨普拉姆国际
HYD,海得拉巴机场
COK,库奇机场
REP,暹粒机场
AOR,亚罗士打机场
JHB,新山机场
KBR,蓬卡兰切帕机场
BPN,塞平甘机场
MDC,万鸦老机场
MES,棉兰机场
LDU,拉哈达图机场
SDK,山打根机场
BTU,民都鲁机场
KCH,古晋机场
LBU,拉布安岛机场
TWU,斗湖机场
SBW,泗务机场
BKI,哥打京那巴鲁机场
TRS,里雅斯特机场
ABE,阿伦敦机场
SNA,圣塔安娜机场
MSN,麦迪逊机场
YLW,科罗纳机场
TPA,坦帕机场
GEG,斯博肯机场
DOH,多哈机场
LEX,莱克星顿机场
YFC,弗雷德里克顿机场
BTM,波由特机场
KBV,甲米机场
RDU,罗利机场
KEL,基尔机场
KTW,卡托维茨机场
DTM,多特蒙德机场
DRS,德雷斯顿
FDH,腓特烈港机场
FMO,蒙斯特机场
ABG,奥格斯堡机场
PAD,帕特泊恩机场
SKG,萨罗尼奇机场
ZAG,萨格勒布机场
CTA,卡塔尼亚机场
VRN,维罗纳机场
ORF,诺福克机场
COS,科罗拉多斯普林机场
OMA,奥马哈机场
CAE,哥伦比亚机场
RMI,里米尼机场
AOI,安科纳机场
BRI,巴里机场
CAG,卡利亚里机场
GOA,热那亚机场
YWG,温尼伯机场
OAK,奥克兰机场
DSM,德梅因机场
MLI,莫林机场
OKC,阿克拉河马城机场
AAL,奥尔堡机场
YXE,萨斯卡通机场
HBA,霍巴特机场
WRO,弗罗茨瓦夫机场
BNJ,波恩机场
INN,因斯布鲁克机场
PDG,塔宾机场
DVO,达沃机场
CLT,道格拉斯机场
BWI,巴尔的摩
GDN,格但斯克机场
LIL,里尔机场
POZ,波兹南机场
NWI,诺维奇机场
BHM,伯明翰机场
PLM,巨港机场
SOC,阿迪苏马尔默机场
TRU,特鲁希略机场
RNS,雷恩机场
CWL,加帝夫机场
KRS,凯捷维克机场
KKC,孔敬机场
UTH,乌隆机场
URT,万伦机场
HDY,合艾机场
TST,董里河机场
GYE,瓜亚基尔机场
NTE,南特机场
PKG,邦咯岛机场
SRG,三宝拢机场
HBE,博格埃尔阿拉伯机场
ALY,亚历山大机场
YIE,伊尔施机场
MYJ,松山机场
LLB,荔波机场
BLL,比隆机场
AJA,阿雅克肖机场
AVN,阿维尼翁机场
BIA,巴斯蒂亚机场
BIQ,比亚里茨机场
CFE,克莱蒙费朗机场
CLY,卡尔维机场
ETZ,梅兹南希机场
GNB,格勒诺布尔机场
LAI,拉尼永机场
LRT,洛里昂机场
MLH,米卢斯机场
NCY,安奈斯机场
PGF,佩皮尼扬机场
PUF,波城机场
RDZ,罗德兹机场
TLN,土伦机场
INV,因纹内丝机场
EIN,爱因霍温机场
HUY,汉伯塞机场
LBA,利兹机场
TRD,特隆赫姆机场
TRF,山达霍得机场
PEE,彼尔姆机场
TLL,塔林机场
ANE,昂热机场
BES,布雷斯特机场
LIG,利摩日机场
LME,勒芒机场
PIS,普瓦捷机场
UIP,坎佩尔机场
VGO,维哥机场
YYJ,维多利亚国际机场
PUE,奥瓦尔迪亚港机场
ADA,阿达那机场
DLM,达拉曼机场
VAN,凡城机场
SFQ,萨利乌尔法机场
MLX,马拉提亚机场
GZT,加济安泰普机场
ERZ,俄祖汝穆机场
DIY,迪亚巴克尔机场
ASR,开塞利机场
KYA,科尼亚机场
SZF,萨姆松机场
TZX,特拉布宗机场
BJV,博德鲁姆机场
DNZ,代尼兹利机场
EDO,埃德米特机场
TUF,图尔斯机场
ACE,兰萨罗特机场
IBZ,伊比萨机场
KZN,喀山机场
LEH,勒阿弗尔机场
MAH,梅诺卡机场
TCL,塔斯卡卢萨机场
TCI,特内里费机场
TFN,诺特罗斯罗德奥斯机场
TFS,苏尔雷纳索菲亚机场
HUI,普拜机场
NHA,芽庄机场
KLO,卡利博机场
KMI,宫崎机场
UUS,南萨哈林斯克机场
BOI,博伊西机场
GOJ,高尔基
IVL,伊伐洛机场
JOE,约恩苏机场
JYV,于伐斯居拉机场
KAJ,卡尼亚机场
KAO,库萨莫机场
KOK,科科拉机场
KTT,基蒂拉机场
KUO,库奥皮欧机场
MHQ,玛丽港机场
OUL,奥卢机场
RVN,罗瓦涅米机场
TKU,图尔库机场
TMP,坦佩雷机场
VAA,瓦萨机场
SKO,索科托机场
KMQ,小松机场
JJN,泉州晋江机场
PIX,皮克岛机场
ROT,罗托鲁阿机场
NAR,纳雷机场
ACH,阿尔滕莱茵
KSC,科希策机场
PRN,普里什蒂纳机场
TSR,蒂米什瓦拉机场
TOD,刁曼机场  
TCZ,腾冲机场
JAC,杰克逊霍勒机场
BUR,鲍勃霍普机场
BIL,比灵斯机场
ABQ,阿尔伯克基国际机场
HDN,亚姆帕瓦雷机场
ICT,米德康提嫩特机场
TUL,塔尔萨国际机场
GRR,肯特郡国际机场
ROC,罗切斯特机场
OGG,卡胡卢伊机场
KOA,科纳机场
ALB,奥尔巴尼国际机场
SCE,大学公园机场
MDT,哈里斯堡国际机场
RIC,里士满国际机场
RSW,西南佛罗里达地区机场
FMY,佩吉机场
PBI,西棕榈滩国际机场
FLL,劳德代尔机场
HFD,布莱纳德机场
BDL,布莱德雷国际机场
MHT,曼彻斯特地方机场
PVD,西奥多弗郎西丝机场
SJC,圣何塞地方机场
SMF,萨克拉门托大都会机场
BPL,新疆博乐机场
MXZ,梅县机场 
SNN,香农机场
LPA,德格兰卡纳里亚机场
LCG,拉科鲁利亚机场
LPL,利物浦－约翰列农机场
BNA,纳什维尔机场
KKJ,小仓机场
TYS,诺克斯威尔机场
LIT,小石城机场
HSV,汉斯威尔机场
GSP,格林威尔机场
CRW,查尔斯顿机场
SPI,首都机场
ABV,阿布贾机场
EVN,埃里温机场
SBN,南本德地区机场
COO,科托努机场
CCO,卡里马瓜机场
AXT,秋田机场
IGU,卡塔拉塔斯机场
SZE,瑟梅拉机场
TSE,阿斯塔纳机场
SPU,斯普利特机场
ABJ,费里克斯霍佛特博伊
PBM,扎恩德里加国际机场
ODS,奥德萨中心机场
MKR,米卡萨拉机场
FYV,费耶特维尔地方机场
XNA,阿肯色西北地区机场
AGS,布什机场
SYR,汉考克国际机场
FBM,卢阿诺机场
GES,布阿扬机场
YQB,魁北克机场
YQY,悉尼机场
PFO,帕福斯国际机场
SHV,什里夫波特地区机场
HJR,克久拉霍机场
LWO,斯尼罗机场
DNK,第聂伯罗彼得罗夫斯克
FNC,马德拉机场
HRK,哈尔科夫机场
KRR,克拉斯诺达尔机场
ROV,罗斯托夫机场
SBZ,锡比乌机场
VAR,瓦尔纳机场
BMI,布卢明顿诺马尔机场
TVC,特拉弗斯城机场
CID,锡达拉皮兹机场
KIV,基希讷乌机场
TGD,格鲁波夫西机场
JLN,乔普林机场
YSB,萨德伯里机场
LSE,拉克鲁斯地方机场
KRP,卡鲁普机场
YYT,圣约翰斯机场
JAI,桑加尼亚机场
LUG,卢加诺机场
ASP,艾丽斯斯普林斯机场
ROA,罗阿诺克地方机场
PNS,彭萨科拉地区机场
AAR,提尔斯特卢普机场
ASM,阿斯马拉国际机场
KJI,喀纳斯机场
BGR,班戈国际机场
NAS,拿骚国际机场
SGF,布兰森地区机场
AHL,艾沙尔顿机场
DMM,法赫德国王国际机场
CMI,维拉德大学机场
ANQ,史特优本郡机场
MGM,达内里机场
LLW,利隆圭国际机场
YQT,桑德贝机场
CHA,拉佛尔机场
TSV,汤斯维尔机场
FAR,赫克特尔机场
MSU,马塞卢国际机场
NLT,那拉提机场
MBS,特里城机场
BTR,瑞安机场
BPT,杰弗逊郡机场
MFE,米勒国际机场
USN,蔚山机场
KPO,普项机场
LFT,拉菲特地区机场
MYY,米里机场
EVV,德雷斯地区机场
USH,伊斯拉斯马尔维纳斯
BME,布鲁姆机场
MKY,麦凯机场
MCZ,帕尔马雷斯机场
NAT,奥古斯托塞佛洛机场
SSA,路易斯马加尔哈斯机场
YKA,坎卢普斯机场
HRG,赫尔格达机场
SSH,奥菲拉机场
EAS,圣塞瓦斯蒂安机场
MJV,桑雅维尔机场
RHO,迪阿格拉斯机场
BTH,杭纳迪姆机场
GOI,达博里姆机场
VNS,瓦拉纳西机场
AHO,阿尔盖罗机场
PMO,蓬塔莱希机场
RBA,塞尔机场
ZIH,伊斯塔巴/西华达内荷国际机场
MTY,马里阿诺－埃斯科贝多
NTR,德尔诺特机场
TOS,特罗姆瑟/朗内斯机场
TUO,陶波机场
LPI,林雪平机场
MMX,斯图鲁普机场
ONT,安大略国际机场
LST,朗塞斯顿机场
YXJ,圣约翰堡机场
PNQ,浦那机场
HOQ,霍夫机场
YQR,里贾纳机场
LNK,林肯地方机场
YUY,鲁安机场
TTT,台东机场
RMQ,清泉岗机场
HZH,黎平机场
SOU,伊斯特雷机场
ASB,阿什贾巴特机场
YYG,夏洛特敦机场
ERI,伊利国际机场
CAK,阿克伦坎通地区机场
MQT,绍亚尔国际机场
MKG,马斯基根机场
TLH,塔拉哈西地方机场
MTS,马特萨法国际机场
RLK,天吉泰机场
IOM,罗纳尔兹威机场
EUG,尤金机场
KSD,卡尔斯塔德机场
FWA,韦恩堡地方机场巴厄
DBV,杜布罗夫尼克机场
UFA,乌法机场
DOK,多内茨克机场
ERF,爱尔福特机场
SAV,希尔顿首脑机场
REG,提托蒙尼提机场
TXK,特克萨卡纳机场
OSR,俄斯特拉伐机场
KGD,加里宁格勒机场
DSN,鄂尔多斯机场
BDQ,瓦多达拉（巴罗达）机
KUH,钏路机场
CKB,克拉克斯堡机场
VSA,卡皮坦卡洛斯佩雷兹
MPK,木浦机场
HPN,维斯特切斯特郡机场
NSN,尼尔森机场
SYM,思茅机场
CHO,夏洛茨维尔机场
UBJ,宇部机场
TNR,塔拿那利佛机场
PLB,克林顿郡机场
ATW,奥塔加米郡机场
BTS,伊万卡机场
KMJ,熊本机场
BKO,巴马科机场
PIA,格雷特尔皮奥里斯
MWX,务安机场
BDA,百慕大机场
BZG,比得哥什机场
RSU,丽水机场
BZN,加拉丁机场
BFL,梅道斯机场
EGE,伊格尔郡机场
MPH,马雷机场
KLR,卡尔马机场
ABX,奥尔伯里机场
LAP,莱昂机场
PSR,里贝里机场
RIX,里加机场
MDL,安尼萨顿机场 
NOU,通托塔机场
PPS,巴拉望机场
SJU,路易斯姆诺兹马灵机场
SEZ,塞舌尔国际机场
PLZ,伊丽莎白港机场
YXU,大都会地区机场
KGT,康定机场
OLB,戈斯塔斯梅拉尔达机
OSS,奥什机场
NPL,新普利茅茨机场
OER,恩舍尔兹维克机场
MLU,门罗地方机场
ASE,阿斯彭机场
AZO,巴特尔克里克国际机场
CJB,佩拉梅杜机场
DYU,杜尚别机场 
YQG,温莎机场
LAN,首都城机场
GAY,伽耶机场
AER,阿德列尔索奇机场
DRO,拉普拉塔机场
ARM,阿米代尔机场
MLB,墨尔本国际机场
BTV,伯灵顿国际机场
PWM,波特兰国际喷气机机场
TOL,伊克斯普雷斯机场
BJM,布琼布拉国际机场
SSG,圣伊莎贝尔机场
YGK,金斯顿机场
CHS,查尔斯顿国际机场
EBL,埃尔比勒国际机场
MHD,马沙德机场
AKX,阿克纠宾斯克机场
CEK,车里雅宾斯克机场 
URA,乌拉尔斯克机场
SVX,叶卡捷琳堡机场
LFW,洛美机场
NSI,希马伦机场
YAO,雅温得机场
ELS,东伦敦机场
FNA,伦吉国际机场
JRO,乞力马扎罗山机场
ZNZ,桑给巴尔机场
NDJ,恩贾梅拉机场
KJA,叶米里亚诺瓦机场
YKS,亚库茨克机场  
VOG,伏尔加格勒机场
ASF,阿斯特拉罕机场
DHN,多森机场
FAI,费尔班克斯国际机场
CIC,奇科机场 
YQM,大都会地区
JAN,杰克逊国际机场
DAB,代托纳比奇地区机场
CWA,中威斯康星机场
YCD,纳奈莫机场
ALO,滑铁卢机场
GRJ,乔治城机场
RNB,卡林格机场
ACY,大西洋城国际机场 
AKJ,旭川国际机场
ALP,内拉博机场
AXA,瓦尔布雷克机场
AMA,阿马里洛国际机场
ANF,塞罗莫雷诺机场  
ANU,VC伯德国际机场
AOJ,青森机场
AOO,阿尔托纳机场
APL,卢姆波机场
APW,法勒奥罗机场
ATY,沃特敦机场 
ATQ,拉贾桑西机场
AVL,阿什维尔地区机场
AVP,威尔克斯巴里国际机场
AYQ,康内尔兰机场
BAQ,考提索茨机场
BBI,布巴内斯瓦尔机场
BCD,巴科洛德机场
BDJ,斯贾姆苏丁 挽诺尔机场
BDS,帕珀拉卡塞尔机场
BEW,贝拉机场
BFN,布隆方丹国际机场
BGF,班吉机场
BGI,格兰特雷－亚当斯国际
BGM,宾厄姆顿机场
BHJ,鲁德拉马塔机场
BHO,博帕尔机场
CNF,坦克雷多挽内弗斯
BIS,俾斯麦机场
BJL,云德姆国际机场
BJX,德尔巴乔机场
BLZ,布兰太尔机场
BMV,蓬杜克机场
BOO,博多机场
BQN,博林奎恩机场
BRO,南帕德雷岛国际机场
BSR,巴士拉国际机场
BUQ,布拉瓦约机场
BUS,巴统机场
BXU,武端机场
BZE,菲利普戈尔德森国际机
CAY, 罗查姆博机场
CCJ,卡利库特机场
CEE,切列波维茨机场 
CEN,奥夫雷贡城机场
CFS,科夫斯港机场
CGY,伦比亚机场
CJS,华雷兹城国际机场
CLL,伊斯特伍德机场
CLO,阿方索挽阿拉贡机场  
CLQ,科利马机场
CME,卡门城机场
CMX,豪登郡机场
COD,黄石地区机场
COU,哥伦比亚地区机场
CPE,坎佩切国际机场
CRP,科珀斯克里斯蒂机场
SBP,郡机场
CTG,拉法厄尔努内兹机场
CUL,费德尔迪挽巴奇瓜拉托机场
CUR,哈托机场
CUU,根费罗挽维拉罗博斯机场  
CWB,阿丰索佩纳机场
CZL,埃因埃尔贝机场
DBQ,迪比克地方机场
DGO,瓜达卢普挽维多利亚机场 
DGT,杜马格特机场
DIB,查布阿机场
